[0.000000] (-) TimerEvent: {}
[0.001088] (-) JobUnselected: {'identifier': 'my_tf_pkg'}
[0.001174] (-) JobUnselected: {'identifier': 'nao_meshes'}
[0.001193] (-) JobUnselected: {'identifier': 'naoqi_bridge_msgs'}
[0.001231] (-) JobUnselected: {'identifier': 'naoqi_driver'}
[0.001247] (-) JobUnselected: {'identifier': 'naoqi_libqi'}
[0.001259] (-) JobUnselected: {'identifier': 'naoqi_libqicore'}
[0.001270] (-) JobUnselected: {'identifier': 'pepper_meshes'}
[0.001366] (-) JobUnselected: {'identifier': 'pepper_wall_follower'}
[0.001708] (-) JobUnselected: {'identifier': 'rtabmap'}
[0.001730] (-) JobUnselected: {'identifier': 'rtabmap_conversions'}
[0.001743] (-) JobUnselected: {'identifier': 'rtabmap_costmap_plugins'}
[0.001754] (-) JobUnselected: {'identifier': 'rtabmap_demos'}
[0.001764] (-) JobUnselected: {'identifier': 'rtabmap_examples'}
[0.001775] (-) JobUnselected: {'identifier': 'rtabmap_launch'}
[0.001785] (-) JobUnselected: {'identifier': 'rtabmap_msgs'}
[0.001796] (-) JobUnselected: {'identifier': 'rtabmap_odom'}
[0.001806] (-) JobUnselected: {'identifier': 'rtabmap_python'}
[0.001817] (-) JobUnselected: {'identifier': 'rtabmap_ros'}
[0.001827] (-) JobUnselected: {'identifier': 'rtabmap_rviz_plugins'}
[0.001838] (-) JobUnselected: {'identifier': 'rtabmap_slam'}
[0.001849] (-) JobUnselected: {'identifier': 'rtabmap_sync'}
[0.001859] (-) JobUnselected: {'identifier': 'rtabmap_util'}
[0.001869] (-) JobUnselected: {'identifier': 'rtabmap_viz'}
[0.001880] (-) JobUnselected: {'identifier': 'wall_follower'}
[0.001891] (-) EventReactorShutdown: {}
